x_value,total_1,total_2
0,1000,1000
1,998,1001
2,1002,996
3,998,998
4,994,1002
5,990,997
6,996,1003
7,992,1007
8,1000,1007
9,995,1007
10,989,1010
11,990,1008
12,991,1006
13,999,1001
14,997,1002
15,993,997
16,989,995
17,994,995
18,994,999
19,994,998
20,993,996
21,991,995
22,993,990
23,987,994
24,989,992
25,993,998
26,991,1001
27,996,1004
28,991,1008
29,999,1004
30,1006,1005
31,1011,1000
32,1005,995
33,1000,995
34,1004,993
35,1007,999
36,1012,1002
37,1013,1002
38,1020,1005
39,1028,1008
40,1036,1009
41,1041,1005
42,1037,1011
43,1041,1016
44,1040,1022
45,1036,1028
46,1039,1031
47,1038,1035
48,1032,1032
49,1039,1029
